experiment,variant,phase,runner,runner_code,parent_variant,created_at,started_at,completed_at,queue_seconds,execution_seconds,total_seconds,status
1,v5_1305,f05_modeling,K8s-8gb,3,v4_0001,2026-06-16T16:58:47.002828+00:00,2026-06-16T16:58:56.857389+00:00,2026-06-16T18:38:58.357587+00:00,9,6001,6011,success
1,v5_1304,f05_modeling,K8s-8gb,3,v4_0001,2026-06-16T16:58:43.925924+00:00,2026-06-16T16:58:53.862636+00:00,2026-06-16T18:41:15.015779+00:00,9,6141,6151,success
1,v5_1306,f05_modeling,K8s-8gb,3,v4_0001,2026-06-16T16:58:51.320548+00:00,2026-06-16T16:59:01.342100+00:00,2026-06-16T18:41:15.035406+00:00,10,6133,6143,success
4,v1_4101,f01_explore,Local,1,,2026-06-16T19:18:05.690337+00:00,2026-06-16T19:18:05.759492+00:00,2026-06-16T19:21:55.534956+00:00,0,229,229,success
4,v2_4101,f02_events,Local,1,v1_4101,2026-06-16T19:18:06.223410+00:00,2026-06-16T19:22:06.727325+00:00,2026-06-16T19:25:30.616975+00:00,240,203,444,success
1,v5_1404,f05_modeling,K8s-24gb,4,v4_0001,2026-06-16T19:20:19.478575+00:00,2026-06-16T19:20:29.355859+00:00,2026-06-16T19:27:31.039664+00:00,9,421,431,failed
1,v5_1403,f05_modeling,K8s-24gb,4,v4_0001,2026-06-16T19:20:16.094416+00:00,2026-06-16T19:20:20.296114+00:00,2026-06-16T19:27:52.138222+00:00,4,451,456,failed
1,v5_1402,f05_modeling,K8s-24gb,4,v4_0001,2026-06-16T19:20:12.405498+00:00,2026-06-16T19:20:22.239433+00:00,2026-06-16T19:27:52.196525+00:00,9,449,459,failed
4,v2_4102,f02_events,Local,1,v1_4101,2026-06-16T19:18:06.733236+00:00,2026-06-16T19:25:37.774280+00:00,2026-06-16T19:29:10.167601+00:00,451,212,663,success
4,v3_4101,f03_windows,Local,1,v2_4101,2026-06-16T19:18:07.201659+00:00,2026-06-16T19:29:23.561747+00:00,2026-06-16T19:30:55.585711+00:00,676,92,768,success
4,v3_4102,f03_windows,Local,1,v2_4101,2026-06-16T19:18:07.616797+00:00,2026-06-16T19:31:08.786704+00:00,2026-06-16T19:32:40.179965+00:00,781,91,872,success
4,v3_4103,f03_windows,Local,1,v2_4102,2026-06-16T19:18:08.052019+00:00,2026-06-16T19:32:54.982256+00:00,2026-06-16T20:08:05.253534+00:00,886,2110,2997,success
1,v5_1405,f05_modeling,K8s-24gb,4,v4_0001,2026-06-16T19:20:23.219658+00:00,2026-06-16T19:27:58.988061+00:00,2026-06-16T20:10:42.449336+00:00,455,2563,3019,success
1,v5_1406,f05_modeling,K8s-24gb,4,v4_0001,2026-06-16T19:20:27.590075+00:00,2026-06-16T19:28:17.205922+00:00,2026-06-16T20:12:06.036194+00:00,469,2628,3098,success
4,v3_4104,f03_windows,Local,1,v2_4102,2026-06-16T19:18:08.464938+00:00,2026-06-16T20:08:13.251081+00:00,2026-06-16T21:00:49.615097+00:00,3004,3156,6161,success
4,v4_4101,f04_targets,Local,1,v3_4101,2026-06-16T19:18:08.851979+00:00,2026-06-16T21:01:02.013591+00:00,2026-06-16T21:02:17.103494+00:00,6173,75,6248,success
4,v4_4102,f04_targets,Local,1,v3_4102,2026-06-16T19:18:09.284866+00:00,2026-06-16T21:02:18.620348+00:00,2026-06-16T21:03:36.856367+00:00,6249,78,6327,success
4,v4_4103,f04_targets,Local,1,v3_4102,2026-06-16T19:18:09.707415+00:00,2026-06-16T21:03:49.173680+00:00,2026-06-16T21:05:02.070783+00:00,6339,72,6412,success
4,v4_4104,f04_targets,Local,1,v3_4103,2026-06-16T21:45:56.173616+00:00,2026-06-16T21:45:56.788986+00:00,2026-06-16T21:49:09.187777+00:00,0,192,193,failed
